DateAware,DateSubmitted,DataBreachCause,DateStart,DateEnd,Name,Id,CyberattackType,WashingtoniansAffected,IndustryType,WashingtoniansAffectedRange,BreachLifecycleRange,DaysToContainBreach,DaysToIdentifyBreach,DiscoveredInProgress,DaysOfExposure,EndedOnDayDiscovered,DaysElapsedBeforeNotification,DaysOfExposureRange
01/07/2021 12:00:00 AM,04/30/2021 12:00:00 AM,Cyberattack,11/03/2020 12:00:00 AM,12/07/2020 12:00:00 AM,Kettle Cuisine,10454,Ransomware,950,Business,500-999,1-99,0,65,false,34,false,113,1-99
03/10/2021 12:00:00 AM,05/03/2021 12:00:00 AM,Cyberattack,12/01/2020 12:00:00 AM,03/08/2021 12:00:00 AM,"Divvy Up, Inc.",10455,Malware,1137,Business,"1,000-9,999",1-99,0,99,false,97,false,54,1-99
02/03/2021 12:00:00 AM,05/04/2021 12:00:00 AM,Cyberattack,01/27/2021 12:00:00 AM,02/03/2021 12:00:00 AM,Inventors Hall of Fame,10456,Phishing,685,Non-Profit/Charity,500-999,1-99,0,7,true,7,true,90,1-99
02/19/2021 12:00:00 AM,05/05/2021 12:00:00 AM,Unauthorized Access,02/06/2021 12:00:00 AM,02/06/2021 12:00:00 AM,NEC Networks dba CaptureRx,10457,,126193,Health,"50,000-999,999",1-99,0,13,false,0,false,75,0
01/20/2021 12:00:00 AM,05/05/2021 12:00:00 AM,Cyberattack,08/21/2020 12:00:00 AM,01/25/2021 12:00:00 AM,Timberland Regional Library,10458,Phishing,26209,Government,"10,000-49,999",100-199,5,152,true,157,false,105,100-199
03/22/2021 12:00:00 AM,05/07/2021 12:00:00 AM,Cyberattack,03/04/2021 12:00:00 AM,03/22/2021 12:00:00 AM,"JHT Holdings, Inc.",10459,Ransomware,511,Business,500-999,1-99,0,18,true,18,true,46,1-99
12/26/2020 12:00:00 AM,03/16/2021 12:00:00 AM,Unauthorized Access,,12/26/2020 12:00:00 AM,Infinity Insurance Company,10426,,606,Finance,500-999,Unknown,0,,true,,true,80,Unknown
01/24/2021 12:00:00 AM,03/15/2021 12:00:00 AM,Cyberattack,,,"Flagstar Bank, FSB",10425,Malware,61006,Finance,"50,000-999,999",Unknown,,,false,,false,50,Unknown
11/29/2020 12:00:00 AM,03/15/2021 12:00:00 AM,Cyberattack,,,American Health Care Academy,10424,Malware,1211,Health,"1,000-9,999",Unknown,,,false,,false,106,Unknown
06/01/2020 12:00:00 AM,03/11/2021 12:00:00 AM,Cyberattack,,,Security Industry Specialists,10423,Ransomware,2264,Business,"1,000-9,999",Unknown,,,false,,false,283,Unknown
12/03/2020 12:00:00 AM,03/11/2021 12:00:00 AM,Cyberattack,11/08/2020 12:00:00 AM,12/03/2020 12:00:00 AM,Perkins & Co,10422,Ransomware,41871,Finance,"10,000-49,999",1-99,0,25,true,25,true,98,1-99
03/09/2021 12:00:00 AM,03/11/2021 12:00:00 AM,Cyberattack,,,Pan-American Life Insurance Group,10421,Phishing,599,Finance,500-999,Unknown,,,false,,false,2,Unknown
02/04/2021 12:00:00 AM,03/10/2021 12:00:00 AM,Cyberattack,,,Public Utility District No. 1 of Skagit County,10420,Ransomware,23935,Government,"10,000-49,999",Unknown,,,false,,false,34,Unknown
11/20/2020 12:00:00 AM,03/10/2021 12:00:00 AM,Unauthorized Access,11/07/2020 12:00:00 AM,11/08/2020 12:00:00 AM,"Mead Johnson & Company, LLC",10419,,2828,Business,"1,000-9,999",1-99,0,13,false,1,false,110,1-99
01/19/2021 12:00:00 AM,03/05/2021 12:00:00 AM,Cyberattack,12/01/2020 12:00:00 AM,01/20/2021 12:00:00 AM,Metromile Insurance Company,10418,Malware,1400,Finance,"1,000-9,999",1-99,1,49,true,50,false,45,1-99
10/16/2019 12:00:00 AM,11/14/2019 12:00:00 AM,Unauthorized Access,07/09/2019 12:00:00 AM,10/09/2019 12:00:00 AM,"Green Roads of Florida, LLC",10416,,540,Business,500-999,1-99,0,99,false,92,false,29,1-99
10/15/2020 12:00:00 AM,04/04/2021 12:00:00 AM,Cyberattack,10/06/2020 12:00:00 AM,10/15/2020 12:00:00 AM,"RXLTC, PLLC & Prescription Pharmacy, PLLC",10415,Phishing,560,Health,500-999,1-99,0,9,true,9,true,171,1-99
01/29/2021 12:00:00 AM,03/05/2021 12:00:00 AM,Cyberattack,01/28/2021 12:00:00 AM,01/31/2021 12:00:00 AM,American Armed Forces Mutual Aid Association,10414,Unclear/unknown,4318,Non-Profit/Charity,"1,000-9,999",1-99,2,1,true,3,false,35,1-99
11/16/2020 12:00:00 AM,03/04/2021 12:00:00 AM,Cyberattack,,,Americold Realty Trust,10413,Ransomware,3337,Business,"1,000-9,999",Unknown,,,false,,false,108,Unknown
02/09/2021 12:00:00 AM,03/02/2021 12:00:00 AM,Cyberattack,,,Northshore Utility District,10412,Ransomware,4900,Government,"1,000-9,999",Unknown,,,false,,false,21,Unknown
10/20/2020 12:00:00 AM,03/02/2021 12:00:00 AM,Cyberattack,,,Cardinal Logistics Management Corp.,10411,Ransomware,1308,Business,"1,000-9,999",Unknown,,,false,,false,133,Unknown
01/28/2021 12:00:00 AM,02/27/2021 12:00:00 AM,Cyberattack,07/01/2020 12:00:00 AM,10/31/2020 12:00:00 AM,"Casemaker, LLC and Lawriter, LLC",10410,Malware,1690,Business,"1,000-9,999",200-299,0,211,false,122,false,30,100-199
02/02/2021 12:00:00 AM,02/26/2021 12:00:00 AM,Cyberattack,,,"BSN Sports, LLC",10409,Malware,523,Business,500-999,Unknown,,,false,,false,24,Unknown
01/04/2021 12:00:00 AM,02/23/2021 12:00:00 AM,Cyberattack,,,Washington Education Association & Seattle Education Association,10408,Ransomware,17415,Education,"10,000-49,999",Unknown,,,false,,false,50,Unknown
02/11/2021 12:00:00 AM,02/23/2021 12:00:00 AM,Cyberattack,02/03/2021 12:00:00 AM,,Lakewood Water District,10407,Ransomware,14877,Government,"10,000-49,999",Unknown,,8,false,,false,12,Unknown
12/22/2020 12:00:00 AM,02/23/2021 12:00:00 AM,Theft or Mistake,10/12/2020 12:00:00 AM,12/16/2020 12:00:00 AM,Humana,10406,,675,Health,500-999,1-99,0,71,false,65,false,63,1-99
01/23/2021 12:00:00 AM,02/19/2021 12:00:00 AM,Cyberattack,12/24/2020 12:00:00 AM,12/29/2020 12:00:00 AM,The Kroger Co.,10405,Malware,153800,Business,"50,000-999,999",1-99,0,30,false,5,false,27,1-99
01/14/2021 12:00:00 AM,02/17/2021 12:00:00 AM,Cyberattack,12/03/2020 12:00:00 AM,01/14/2021 12:00:00 AM,"Woodcreek Provider Services, LLC",10402,Ransomware,25917,Health,"10,000-49,999",1-99,0,42,true,42,true,34,1-99
01/12/2021 12:00:00 AM,02/12/2021 12:00:00 AM,Cyberattack,,,Washington State Auditor's Office,10401,Malware,1420520,Government,"1,000,000+",Unknown,,,false,,false,31,Unknown
01/03/2021 12:00:00 AM,02/02/2021 12:00:00 AM,Cyberattack,01/03/2021 12:00:00 AM,,The Brotherhood's Relief & Compensation Fund,10400,Ransomware,1563,Non-Profit/Charity,"1,000-9,999",Unknown,,0,false,,false,30,Unknown
12/28/2020 12:00:00 AM,01/26/2021 12:00:00 AM,Cyberattack,12/28/2020 12:00:00 AM,12/28/2020 12:00:00 AM,thyssenkrupp Materials,10399,Ransomware,1250,Business,"1,000-9,999",0,0,0,true,0,true,29,0
08/31/2020 12:00:00 AM,01/27/2021 12:00:00 AM,Cyberattack,08/28/2020 12:00:00 AM,08/29/2020 12:00:00 AM,Absher Construction Company,10398,Malware,1527,Business,"1,000-9,999",1-99,0,3,false,1,false,149,1-99
07/25/2020 12:00:00 AM,01/26/2021 12:00:00 AM,Cyberattack,04/05/2020 12:00:00 AM,08/06/2020 12:00:00 AM,Puget Sound Educational Service District,10397,Phishing,32419,Education,"10,000-49,999",100-199,12,111,true,123,false,185,100-199
08/17/2020 12:00:00 AM,01/26/2021 12:00:00 AM,Cyberattack,,,"Bosley, Inc.",10396,Ransomware,1936,Business,"1,000-9,999",Unknown,,,false,,false,162,Unknown
08/10/2020 12:00:00 AM,01/25/2021 12:00:00 AM,Cyberattack,08/05/2020 12:00:00 AM,08/17/2020 12:00:00 AM,Einstein Healthcare Network,10395,Phishing,1197,Health,"1,000-9,999",1-99,7,5,true,12,false,168,1-99
08/01/2020 12:00:00 AM,01/25/2021 12:00:00 AM,Cyberattack,,,American Frame Corporation,10394,Ransomware,954,Business,500-999,Unknown,,,false,,false,177,Unknown
12/14/2020 12:00:00 AM,01/21/2021 12:00:00 AM,Cyberattack,11/08/2020 12:00:00 AM,11/09/2020 12:00:00 AM,Cardinal Financial Company,10393,Unclear/unknown,925,Finance,500-999,1-99,0,36,false,1,false,38,1-99
12/22/2020 12:00:00 AM,01/19/2021 12:00:00 AM,Cyberattack,02/07/2020 12:00:00 AM,05/20/2020 12:00:00 AM,Helen Keller International,10392,Ransomware,534,Non-Profit/Charity,500-999,300-399,0,319,false,103,false,28,100-199
10/14/2020 12:00:00 AM,01/15/2021 12:00:00 AM,Cyberattack,,,"Walla Walla County, WA",10391,Unclear/unknown,577,Government,500-999,Unknown,,,false,,false,93,Unknown
12/10/2020 12:00:00 AM,01/13/2021 12:00:00 AM,Cyberattack,12/05/2019 12:00:00 AM,05/15/2020 12:00:00 AM,Waters & Kraus LLP,10390,Phishing,522,Business,500-999,300-399,0,371,false,162,false,34,100-199
07/16/2020 12:00:00 AM,01/13/2021 12:00:00 AM,Cyberattack,02/07/2020 12:00:00 AM,05/20/2020 12:00:00 AM,North Park University,10389,Ransomware,1239,Education,"1,000-9,999",100-199,0,160,false,103,false,181,100-199
09/07/2020 12:00:00 AM,01/12/2021 12:00:00 AM,Cyberattack,08/31/2020 12:00:00 AM,09/07/2020 12:00:00 AM,"National Board for Certified Counselors, Inc.",10388,Malware,9898,Non-Profit/Charity,"1,000-9,999",1-99,0,7,true,7,true,127,1-99
11/12/2020 12:00:00 AM,01/11/2021 12:00:00 AM,Cyberattack,11/09/2020 12:00:00 AM,11/12/2020 12:00:00 AM,Jefferson Healthcare,10387,Phishing,2496,Health,"1,000-9,999",1-99,0,3,true,3,true,60,1-99
12/16/2020 12:00:00 AM,01/11/2021 12:00:00 AM,Cyberattack,04/01/2020 12:00:00 AM,06/30/2020 12:00:00 AM,"ALE Solutions, Inc.",10386,Ransomware,736,Business,500-999,200-299,0,259,false,90,false,26,1-99
12/04/2020 12:00:00 AM,01/08/2021 12:00:00 AM,Cyberattack,08/12/2020 12:00:00 AM,09/14/2020 12:00:00 AM,"US Fertility, LLC (Seattle Reproductive Medicine)",10385,Ransomware,47952,Health,"10,000-49,999",100-199,0,114,false,33,false,35,1-99
07/16/2020 12:00:00 AM,01/08/2021 12:00:00 AM,Cyberattack,06/17/2020 12:00:00 AM,06/22/2020 12:00:00 AM,North American Partners in Anesthesia,10384,Phishing,505,Health,500-999,1-99,0,29,false,5,false,176,1-99
12/09/2020 12:00:00 AM,01/08/2021 12:00:00 AM,Cyberattack,02/07/2020 12:00:00 AM,05/20/2020 12:00:00 AM,Convoy of Hope,10383,Ransomware,1017,Non-Profit/Charity,"1,000-9,999",300-399,0,306,false,103,false,30,100-199
09/29/2020 12:00:00 AM,01/05/2021 12:00:00 AM,Cyberattack,02/07/2020 12:00:00 AM,05/20/2020 12:00:00 AM,Grinnell College,10382,Ransomware,2465,Education,"1,000-9,999",200-299,0,235,false,103,false,98,100-199
12/12/2020 12:00:00 AM,01/04/2021 12:00:00 AM,Cyberattack,12/12/2020 12:00:00 AM,12/26/2020 12:00:00 AM,"Peter Pan Seafoods, Inc.",10381,Ransomware,1661,Business,"1,000-9,999",1-99,14,0,true,14,false,23,1-99
10/20/2020 12:00:00 AM,12/31/2020 12:00:00 AM,Cyberattack,10/20/2020 12:00:00 AM,,"Life Quotes, Inc.",10380,Ransomware,626,Finance,500-999,Unknown,,0,false,,false,72,Unknown
07/16/2020 12:00:00 AM,12/28/2020 12:00:00 AM,Cyberattack,02/07/2020 12:00:00 AM,05/20/2020 12:00:00 AM,"Pulmonary Hypertension Association, Inc.",10379,Ransomware,722,Non-Profit/Charity,500-999,100-199,0,160,false,103,false,165,100-199
12/02/2020 12:00:00 AM,12/28/2020 12:00:00 AM,Theft or Mistake,11/30/2020 12:00:00 AM,,Prime Therapeutics,10378,,897,Health,500-999,Unknown,,2,false,,false,26,Unknown
11/11/2020 12:00:00 AM,12/23/2020 12:00:00 AM,Cyberattack,,,"Tree Top, Inc.",10377,Ransomware,9721,Business,"1,000-9,999",Unknown,,,false,,false,42,Unknown
09/29/2020 12:00:00 AM,12/23/2020 12:00:00 AM,Cyberattack,10/01/2019 12:00:00 AM,08/20/2020 12:00:00 AM,"Metabolic Maintenance Products, Inc.",10376,Malware,709,Business,500-999,300-399,0,364,false,324,false,85,300-399
12/02/2020 12:00:00 AM,12/23/2020 12:00:00 AM,Cyberattack,02/07/2020 12:00:00 AM,05/20/2020 12:00:00 AM,Bucknell University,10375,Ransomware,710,Education,500-999,200-299,0,299,false,103,false,21,100-199
11/23/2020 12:00:00 AM,12/22/2020 12:00:00 AM,Cyberattack,02/07/2020 12:00:00 AM,05/20/2020 12:00:00 AM,Cedarville University,10374,Ransomware,1706,Education,"1,000-9,999",200-299,0,290,false,103,false,29,100-199
11/12/2020 12:00:00 AM,12/18/2020 12:00:00 AM,Cyberattack,03/10/2020 12:00:00 AM,11/12/2020 12:00:00 AM,Washington State Bar Association,10373,Malware,4051,Government,"1,000-9,999",200-299,0,247,true,247,true,36,200-299
09/14/2020 12:00:00 AM,12/18/2020 12:00:00 AM,Unauthorized Access,11/11/2019 12:00:00 AM,12/09/2019 12:00:00 AM,Benton County of Washington,10372,,820,Government,500-999,300-399,0,308,false,28,false,95,1-99
11/06/2020 12:00:00 AM,12/16/2020 12:00:00 AM,Cyberattack,05/13/2018 12:00:00 AM,11/24/2020 12:00:00 AM,Paysafe Group Holdings Limited,10371,Unclear/unknown,1877,Business,"1,000-9,999",500+,18,908,true,926,false,40,500+
06/19/2020 12:00:00 AM,12/16/2020 12:00:00 AM,Cyberattack,06/17/2020 12:00:00 AM,06/22/2020 12:00:00 AM,"MEDNAX Services, Inc.",10370,Phishing,29861,Health,"10,000-49,999",1-99,3,2,true,5,false,180,1-99
09/28/2020 12:00:00 AM,12/16/2020 12:00:00 AM,Cyberattack,02/07/2020 12:00:00 AM,05/20/2020 12:00:00 AM,Kappa Delta Foundation,10369,Ransomware,1508,Non-Profit/Charity,"1,000-9,999",200-299,0,234,false,103,false,79,100-199
11/12/2020 12:00:00 AM,12/11/2020 12:00:00 AM,Cyberattack,02/07/2020 12:00:00 AM,05/20/2020 12:00:00 AM,Fairfield University,10368,Ransomware,505,Education,500-999,200-299,0,279,false,103,false,29,100-199
07/16/2020 12:00:00 AM,12/10/2020 12:00:00 AM,Cyberattack,02/07/2020 12:00:00 AM,05/20/2020 12:00:00 AM,Oklahoma State University Foundation,10367,Ransomware,1334,Non-Profit/Charity,"1,000-9,999",100-199,0,160,false,103,false,147,100-199
05/01/2020 12:00:00 AM,12/09/2020 12:00:00 AM,Cyberattack,,,City University of Seattle,10366,Unclear/unknown,1097,Education,"1,000-9,999",Unknown,,,false,,false,222,Unknown
10/25/2020 12:00:00 AM,12/04/2020 12:00:00 AM,Cyberattack,09/28/2020 12:00:00 AM,10/25/2020 12:00:00 AM,"USNR, LLC",10365,Ransomware,1368,Business,"1,000-9,999",1-99,0,27,true,27,true,40,1-99
11/11/2020 12:00:00 AM,12/01/2020 12:00:00 AM,Cyberattack,11/04/2020 12:00:00 AM,11/19/2020 12:00:00 AM,Stride Inc.,10364,Ransomware,742,Business,500-999,1-99,8,7,true,15,false,20,1-99
10/14/2020 12:00:00 AM,12/01/2020 12:00:00 AM,Cyberattack,,,Matson Navigation Company,10363,Unclear/unknown,2991,Business,"1,000-9,999",Unknown,,,false,,false,48,Unknown
10/24/2020 12:00:00 AM,11/20/2020 12:00:00 AM,Cyberattack,10/21/2020 12:00:00 AM,10/25/2020 12:00:00 AM,"Senior Operations, LLC (Senior Aerospace AMT & Damar AeroSystems)",10362,Ransomware,2543,Business,"1,000-9,999",1-99,1,3,true,4,false,27,1-99
08/23/2020 12:00:00 AM,11/18/2020 12:00:00 AM,Cyberattack,07/11/2020 12:00:00 AM,08/23/2020 12:00:00 AM,"Windstream Holdings II, LLC",10361,Unclear/unknown,643,Business,500-999,1-99,0,43,true,43,true,87,1-99
07/24/2020 12:00:00 AM,11/13/2020 12:00:00 AM,Cyberattack,02/07/2020 12:00:00 AM,05/20/2020 12:00:00 AM,Georgia Southern University,10360,Ransomware,552,Education,500-999,100-199,0,168,false,103,false,112,100-199
05/01/2020 12:00:00 AM,11/10/2020 12:00:00 AM,Unauthorized Access,03/02/2020 12:00:00 AM,03/03/2020 12:00:00 AM,Woodruff Sawyer & Co.,10359,,2393,Finance,"1,000-9,999",1-99,0,60,false,1,false,193,1-99
08/19/2020 12:00:00 AM,02/01/2021 12:00:00 AM,Cyberattack,08/06/2020 12:00:00 AM,,Gonzaga University,10357,Phishing,8041,Education,"1,000-9,999",Unknown,,13,false,,false,166,Unknown
11/29/2020 12:00:00 AM,01/29/2021 12:00:00 AM,Cyberattack,05/06/2019 12:00:00 AM,05/15/2019 12:00:00 AM,Grays Harbor Community Hospital,10356,Ransomware,4984,Health,"1,000-9,999",500+,0,573,false,9,false,61,1-99
09/16/2020 12:00:00 AM,11/05/2020 12:00:00 AM,Cyberattack,02/07/2020 12:00:00 AM,05/20/2020 12:00:00 AM,Green America,10355,Ransomware,1127,Non-Profit/Charity,"1,000-9,999",200-299,0,222,false,103,false,50,100-199
07/24/2020 12:00:00 AM,11/04/2020 12:00:00 AM,Unauthorized Access,,,Amtrak,10354,,1208,Business,"1,000-9,999",Unknown,,,false,,false,103,Unknown
08/30/2020 12:00:00 AM,10/29/2020 12:00:00 AM,Cyberattack,,,MK Periodontics and Implants,10353,Ransomware,8000,Health,"1,000-9,999",Unknown,,,false,,false,60,Unknown
07/16/2020 12:00:00 AM,10/29/2020 12:00:00 AM,Cyberattack,02/07/2020 12:00:00 AM,05/20/2020 12:00:00 AM,Feed the Children,10351,Ransomware,21257,Non-Profit/Charity,"10,000-49,999",100-199,0,160,false,103,false,105,100-199
07/06/2020 12:00:00 AM,10/28/2020 12:00:00 AM,Cyberattack,01/01/2020 12:00:00 AM,07/17/2020 12:00:00 AM,"JM Bullion, Inc.",10350,Malware,882,Business,500-999,100-199,11,187,true,198,false,114,100-199
07/28/2020 12:00:00 AM,10/27/2020 12:00:00 AM,Unauthorized Access,02/21/2020 12:00:00 AM,07/28/2020 12:00:00 AM,"TrueFire, LLC",10349,,2633,Business,"1,000-9,999",100-199,0,158,true,158,true,91,100-199
08/28/2020 12:00:00 AM,10/27/2020 12:00:00 AM,Cyberattack,08/09/2020 12:00:00 AM,08/09/2020 12:00:00 AM,Luxottica of America Inc.,10348,Unclear/unknown,12166,Business,"10,000-49,999",1-99,0,19,false,0,false,60,0
05/31/2020 12:00:00 AM,10/27/2020 12:00:00 AM,Cyberattack,,,"Ascend Clinical, LLC",10347,Phishing,1959,Health,"1,000-9,999",Unknown,,,false,,false,149,Unknown
09/27/2020 12:00:00 AM,10/25/2020 12:00:00 AM,Theft or Mistake,09/27/2020 12:00:00 AM,,"Hi-Line Ranch, Harris Farms, Cherry River Farms",10346,,852,Business,500-999,Unknown,,0,false,,false,28,Unknown
09/10/2020 12:00:00 AM,10/22/2020 12:00:00 AM,Cyberattack,02/07/2020 12:00:00 AM,05/20/2020 12:00:00 AM,"University of Nevada, Las Vegas Foundation",10345,Ransomware,2563,Non-Profit/Charity,"1,000-9,999",200-299,0,216,false,103,false,42,100-199
09/24/2020 12:00:00 AM,10/21/2020 12:00:00 AM,Cyberattack,,09/24/2020 12:00:00 AM,Sam's Club,10344,Other,771,Business,500-999,Unknown,0,,true,,true,27,Unknown
07/16/2020 12:00:00 AM,10/21/2020 12:00:00 AM,Cyberattack,02/07/2020 12:00:00 AM,05/20/2020 12:00:00 AM,Carroll College,10343,Ransomware,2166,Education,"1,000-9,999",100-199,0,160,false,103,false,97,100-199
09/18/2020 12:00:00 AM,10/16/2020 12:00:00 AM,Theft or Mistake,09/18/2020 12:00:00 AM,09/18/2020 12:00:00 AM,"Wyndham Capital Mortgage, Inc.",10342,,569,Finance,500-999,0,0,0,true,0,true,28,0
08/31/2020 12:00:00 AM,10/16/2020 12:00:00 AM,Theft or Mistake,08/29/2020 12:00:00 AM,08/30/2020 12:00:00 AM,The Health & Wellness Clinic,10341,,889,Health,500-999,1-99,0,2,false,1,false,46,1-99
09/14/2020 12:00:00 AM,10/15/2020 12:00:00 AM,Cyberattack,02/07/2020 12:00:00 AM,05/20/2020 12:00:00 AM,"University of Nevada, Reno",10340,Ransomware,3361,Education,"1,000-9,999",200-299,0,220,false,103,false,31,100-199
07/16/2020 12:00:00 AM,10/13/2020 12:00:00 AM,Cyberattack,02/07/2020 12:00:00 AM,05/20/2020 12:00:00 AM,Forest Ridge School of the Sacred Heart,10339,Ransomware,555,Education,500-999,100-199,0,160,false,103,false,89,100-199
